ENCERRAMENTO;UF;MUNICIPIO;QTE;ATIVIDADE
01/02/2021;RJ;PETROPOLIS;3;REMANEJAMENTO - BL E VOIP
01/02/2021;RJ;RIO DE JANEIRO;1;REMANEJAMENTO - BL E IPTV
01/02/2021;RJ;SAO GONCALO;2;REMANEJAMENTO - BL E VOIP
01/02/2021;RJ;SAO JOAO DE MERITI;4;REMANEJAMENTO - BL E VOIP
01/02/2021;RJ;VOLTA REDONDA;1;REMANEJAMENTO - BL E VOIP
01/02/2021;RS;CANOAS;2;REMANEJAMENTO - BL
01/02/2021;RS;PASSO FUNDO;1;REMANEJAMENTO - BL
01/02/2021;RS;PORTO ALEGRE;2;REMANEJAMENTO - BL E VOIP
01/02/2021;RS;SANTO ANGELO;1;REMANEJAMENTO - BL E VOIP
01/02/2021;RS;VIAMAO;6;REMANEJAMENTO - BL E VOIP
01/02/2021;RS;VIAMAO;1;REMANEJAMENTO - VOIP
01/02/2021;SC;TUBARAO;1;REMANEJAMENTO - BL
01/02/2022;AM;MANAUS;1;REMANEJAMENTO - VOIP
01/02/2022;ES;SERRA;1;REMANEJAMENTO - VOIP
01/02/2022;ES;VITORIA;5;REMANEJAMENTO - BL E VOIP
01/02/2022;GO;APARECIDA DE GOIANIA;5;REMANEJAMENTO - BL
01/02/2022;MG;BELO HORIZONTE;9;REMANEJAMENTO - BL E VOIP
01/02/2022;MG;BELO HORIZONTE;3;REMANEJAMENTO - VOIP
01/02/2022;MS;CAMPO GRANDE;1;REMANEJAMENTO - VOIP
01/02/2022;MS;DOURADOS;1;REMANEJAMENTO - BL E VOIP
01/02/2022;PI;PARNAIBA;1;REMANEJAMENTO - BL E VOIP
01/02/2022;PR;COLOMBO;2;REMANEJAMENTO - BL E VOIP
01/02/2022;PR;PARANAGUA;1;REMANEJAMENTO - BL E VOIP
01/02/2022;PR;PINHAIS;1;REMANEJAMENTO - BL
01/02/2022;RJ;ANGRA DOS REIS;1;REMANEJAMENTO - VOIP
01/02/2022;RJ;CABO FRIO;1;REMANEJAMENTO - VOIP
01/02/2022;RJ;NILOPOLIS;1;REMANEJAMENTO - BL E VOIP
01/02/2022;RJ;NITEROI;1;REMANEJAMENTO - VOIP
01/02/2022;RJ;RIO DE JANEIRO;15;REMANEJAMENTO - BL E VOIP
01/02/2022;RJ;SAO GONCALO;1;REMANEJAMENTO - BL
01/02/2022;RR;BOA VISTA;3;REMANEJAMENTO - BL E VOIP
01/02/2022;RS;ALVORADA;1;REMANEJAMENTO - BL
01/02/2022;RS;GRAVATAI;1;REMANEJAMENTO - BL E VOIP
01/02/2022;RS;SANTA CRUZ DO SUL;2;REMANEJAMENTO - BL
01/03/2021;BA;SALVADOR;4;REMANEJAMENTO - BL
01/03/2021;DF;BRASILIA;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;DF;BRASILIA;2;REMANEJAMENTO - VOIP
01/03/2021;GO;GOIANIA;2;REMANEJAMENTO - BL
01/03/2021;MG;JUIZ DE FORA;1;REMANEJAMENTO - BL
01/03/2021;MS;DOURADOS;6;REMANEJAMENTO - BL E VOIP
01/03/2021;MT;RONDONOPOLIS;2;REMANEJAMENTO - BL E VOIP
01/03/2021;PA;BELEM;5;REMANEJAMENTO - BL E VOIP
01/03/2021;PI;TERESINA;2;REMANEJAMENTO - BL
01/03/2021;PR;SAO JOSE DOS PINHAIS;3;REMANEJAMENTO - BL
01/03/2021;RJ;ARMACAO DOS BUZIOS;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;RJ;BELFORD ROXO;1;REMANEJAMENTO - BL
01/03/2021;RJ;DUQUE DE CAXIAS;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;RJ;RIO DE JANEIRO;1;REMANEJAMENTO - BL E IPTV
01/03/2021;RJ;SAO GONCALO;3;REMANEJAMENTO - BL E VOIP
01/03/2021;RJ;SAO GONCALO;1;REMANEJAMENTO - VOIP
01/03/2021;RJ;TERESOPOLIS;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;RR;BOA VISTA;4;REMANEJAMENTO - BL E VOIP
01/03/2021;RS;CAXIAS DO SUL;1;REMANEJAMENTO - IPTV
01/03/2021;RS;NOVO HAMBURGO;5;REMANEJAMENTO - BL E VOIP
01/03/2021;RS;NOVO HAMBURGO;2;REMANEJAMENTO - VOIP
01/03/2021;RS;SANTA CRUZ DO SUL;1;REMANEJAMENTO - BL E VOIP
01/03/2021;SC;ITAJAI;1;REMANEJAMENTO - IPTV
01/04/2021;AM;MANAUS;2;REMANEJAMENTO - BL
01/04/2021;AP;MACAPA;5;REMANEJAMENTO - BL E VOIP
01/04/2021;BA;BARREIRAS;1;REMANEJAMENTO - BL E VOIP
01/04/2021;BA;FEIRA DE SANTANA;1;REMANEJAMENTO - BL E VOIP
01/04/2021;BA;SALVADOR;8;REMANEJAMENTO - BL E VOIP
01/04/2021;CE;FORTALEZA;1;REMANEJAMENTO - VOIP
01/04/2021;DF;BRASILIA;7;REMANEJAMENTO - BL
01/04/2021;ES;SERRA;1;REMANEJAMENTO - BL
01/04/2021;GO;APARECIDA DE GOIANIA;2;REMANEJAMENTO - VOIP
01/04/2021;MA;SAO LUIS;4;REMANEJAMENTO - BL
01/04/2021;MG;ARAGUARI;1;REMANEJAMENTO - BL E VOIP
01/04/2021;MG;BELO HORIZONTE;8;REMANEJAMENTO - BL
01/04/2021;MG;JUIZ DE FORA;4;REMANEJAMENTO - BL E VOIP
01/04/2021;MS;CAMPO GRANDE;1;REMANEJAMENTO - BL
01/04/2021;PE;RECIFE;1;REMANEJAMENTO - BL E VOIP
01/04/2021;PI;TERESINA;1;REMANEJAMENTO - BL E VOIP
01/04/2021;PR;COLOMBO;1;REMANEJAMENTO - BL
01/04/2021;PR;CURITIBA;1;REMANEJAMENTO - BL E VOIP E IPTV
01/04/2021;PR;SAO JOSE DOS PINHAIS;5;REMANEJAMENTO - BL E VOIP
01/04/2021;RJ;CABO FRIO;3;REMANEJAMENTO - BL
01/04/2021;RJ;NITEROI;1;REMANEJAMENTO - BL E VOIP E IPTV
01/04/2021;RJ;NOVA IGUACU;1;REMANEJAMENTO - BL E VOIP
01/04/2021;RJ;PETROPOLIS;1;REMANEJAMENTO - BL E IPTV
01/01/2021;MG;UBA;2;REMANEJAMENTO - BL
01/02/2021;BA;JEQUIE;1;REMANEJAMENTO - BL
01/02/2021;ES;VITORIA;2;REMANEJAMENTO - BL
01/02/2021;MT;SINOP;2;REMANEJAMENTO - BL E VOIP
01/02/2021;PA;BELEM;1;REMANEJAMENTO - BL E VOIP E IPTV
01/02/2021;PB;JOAO PESSOA;1;REMANEJAMENTO - BL
01/02/2021;PI;TERESINA;1;REMANEJAMENTO - BL
01/02/2021;PI;TERESINA;1;REMANEJAMENTO - VOIP
01/02/2021;RJ;NILOPOLIS;1;REMANEJAMENTO - IPTV
01/02/2021;RJ;NITEROI;5;REMANEJAMENTO - BL E VOIP
01/02/2021;RJ;PETROPOLIS;2;REMANEJAMENTO - BL E VOIP E IPTV
01/02/2021;RJ;RIO DE JANEIRO;3;REMANEJAMENTO - BL
01/02/2021;RJ;SAO JOAO DE MERITI;1;REMANEJAMENTO - BL E VOIP E IPTV
01/02/2021;RR;BOA VISTA;3;REMANEJAMENTO - BL
01/02/2021;RS;CAXIAS DO SUL;4;REMANEJAMENTO - BL E VOIP
01/02/2021;RS;NOVO HAMBURGO;2;REMANEJAMENTO - BL E VOIP
01/02/2022;AM;MANAUS;5;REMANEJAMENTO - BL E VOIP
01/02/2022;AP;MACAPA;3;REMANEJAMENTO - BL
01/02/2022;BA;EUNAPOLIS;1;REMANEJAMENTO - BL
01/02/2022;BA;SALVADOR;1;REMANEJAMENTO - VOIP
01/02/2022;CE;JUAZEIRO DO NORTE;1;REMANEJAMENTO - BL E VOIP
01/02/2022;DF;BRASILIA;4;REMANEJAMENTO - BL
01/02/2022;GO;GOIANIA;4;REMANEJAMENTO - BL
01/02/2022;MG;DIVINOPOLIS;1;REMANEJAMENTO - BL E VOIP
01/02/2022;MG;GOVERNADOR VALADARES;1;REMANEJAMENTO - BL
01/02/2022;MG;MONTES CLAROS;1;REMANEJAMENTO - BL E VOIP
01/02/2022;MG;SETE LAGOAS;2;REMANEJAMENTO - BL
01/02/2022;MG;UBA;2;REMANEJAMENTO - BL E VOIP
01/02/2022;PB;JOAO PESSOA;1;REMANEJAMENTO - BL E VOIP
01/02/2022;PR;CURITIBA;8;REMANEJAMENTO - BL E VOIP
01/02/2022;RJ;NOVA FRIBURGO;1;REMANEJAMENTO - BL E VOIP
